

     cycle         N      EInter(kJ/mol)      EIntra(kJ/mol)   temper(K)  press(bar)   dens(g/cm^3)     a(（)     b(（)     c(（)   メ(rad)   モ(rad)   ャ(rad)

      1000       256            -17.5665             -2.6928    160.0000      0.0000         1.8540   35.4953   25.1549   35.4425   89.8464   90.4996   90.3256


     cycle         N      EInter(kJ/mol)      EIntra(kJ/mol)   temper(K)  press(bar)   dens(g/cm^3)     a(（)     b(（)     c(（)   メ(rad)   モ(rad)   ャ(rad)

      1000       256            -17.8459             -2.7510    160.0000      0.0000         1.8766   35.4127   24.7703   35.6459   90.2365   90.9126   89.9696
      2000       256            -17.8332             -2.7841    160.0000      0.0000         1.8747   35.4824   24.8487   35.4985   90.7482   90.3757   90.2722
      3000       256            -17.8207             -2.7437    160.0000      0.0000         1.8738   35.4871   24.9302   35.3929   90.4881   90.1173   90.1725
      4000       256            -17.8420             -2.7391    160.0000      0.0000         1.8753   35.4696   24.9714   35.3235   90.4368   89.7324   90.0957
      5000       256            -17.8048             -2.7066    160.0000      0.0000         1.8728   35.5485   24.9285   35.3560   90.4955   89.3979   90.0945
      6000       256            -17.7700             -2.7227    160.0000      0.0000         1.8700   35.5891   24.9127   35.3909   90.4263   89.4453   90.1563
      7000       256            -17.7608             -2.7289    160.0000      0.0000         1.8694   35.5573   24.9484   35.3832   90.2850   89.3226   90.1899


     cycle         N      EInter(kJ/mol)      EIntra(kJ/mol)   temper(K)  press(bar)   dens(g/cm^3)     a(（)     b(（)     c(（)   メ(rad)   モ(rad)   ャ(rad)

      1000         1             -0.0153       -1479798.7044    300.0000      0.0000         0.0133   19.2364   19.9315   20.0155   93.4263   92.1551   89.2745
      2000         1             -0.0155       -5238839.1772    300.0000      0.0000         0.0134   18.0956   20.2194   20.8370   93.8773   93.3161   87.2928
      3000         1             -0.0158       -7735846.4004    300.0000      0.0000         0.0136   16.8220   20.6446   21.9772   96.0628   90.8413   84.9423
      4000         1             -0.0158       -9523181.1523    300.0000      0.0000         0.0136   16.2809   20.3669   23.2709   96.4470   88.4950   83.9728
      5000         1             -0.0151      -13745330.0362    300.0000      0.0000         0.0129   16.3377   20.0942   25.0520   97.5792   87.8923   82.1795
      6000         1             -0.0145      -21589326.5521    300.0000      0.0000         0.0122   16.1218   19.9480   27.1381   98.5138   86.0918   81.9185
      7000         1             -0.0148      -27606500.3527    300.0000      0.0000         0.0125   15.6979   19.1959   28.8394   98.2027   85.3383   82.1337
      8000         1             -0.0152      -32265753.4740    300.0000      0.0000         0.0127   15.0344   19.1018   29.6750   96.1294   83.8764   83.2509
      9000         1             -0.0149      -35963311.9480    300.0000      0.0000         0.0123   14.7438   19.9774   29.7509   91.5593   83.1528   82.9663
     10000         1             -0.0146      -38974361.7151    300.0000      0.0000         0.0120   14.7071   20.8277   29.5186   87.6860   82.0453   81.9953
     11000         1             -0.0168      -99766835.7638    300.0000      0.0000         0.0123   10.0693   41.7143   39.8586   32.4755   69.0731   68.8114
     12000         1             -0.0135     -118475631.0024    300.0000      0.0000         0.0092    8.9731   45.1232   48.3854   38.9105   67.1251   77.7229
     13000         1             -0.0138     -139181729.0656    300.0000      0.0000         0.0099    9.9077   47.7110   46.2695   35.5424   66.1588   78.7516
     14000         1             -0.0129     -171673674.5932    300.0000      0.0000         0.0094   12.5972   46.7711   45.0961   32.5044   65.9915   77.9786
